"Lodobren","Vznamka","Scrna_lista","Sst_odobritev","Dcrna_lista","Dst_pogodb","Vletnik","Vmpc","Veurotax","Lpolog","Lobrestna_mera","Splacilni_indeks","Szapadlo_neplacano","Sobligo","Ltrajanje_meseci","Sneto_placa","Srazpolozljiv_od_z_malico_in_prevozom","Sstarost","Strajanje_zaposlitve","Sposta","Sdrzavljanstvo","Sdrzavljanstvo_eu","SDtip","SDst_zaposlenih","SDdoba_poslovanja","SDprihodki","SDodstotek_kapitala_v_bilancni_vsoti","SDposlovni_izid","SDblokada_racuna","SDinsolventnost","SDcrna_lista"
"DA","HYUNDAI","NE",0,"NE",3418,9,5600,11.02,21.43,7.59,3.95,0,4512,36,849.6,709.06,66,"UPOKOJENEC","SI-9","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","CHEVROLET","NE",0,"NE",957,3,12300,7.21,40,7.09,26.19,0,7380,72,689.11,670.78,32,"NEDOLOCEN CAS","SI-6","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","CHEVROLET","NE",0,"DA",70,5,4000,1.88,20,7.59,NA,NA,3927.6,60,605,539.54,26,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",41.11,4,1778599,19.01,36356,"NE","NE","NE"
"DA","HYUNDAI","NE",0,"NE",398,0,17000,0,41.18,6.84,0,0,12439.2,60,1269.65,907,32,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",18.84,22,7727294,81.38,1443606,"NE","NE","NE"
"NE","FORD","NE",0,"NE",1664,0,17145,0,11.67,6.84,NA,NA,19425.84,84,856,749.62,31,"DOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",142.17,24,20858813,82.3,1515931,"NE","NE","NE"
"NE","FORD","DA",0,"NE",3415,3,9990,-10.47,10.01,6.84,NA,NA,9189.8,72,562.13,580.42,23,"DOLOCEN CAS","SI-9","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",69.14,37,9310470,48.7,-127277,"NE","NE","NE"
"DA","CHEVROLET","NE",0,"DA",70,5,4000,1.88,30,7.59,NA,NA,3445.8,60,605,547.57,26,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",41.11,4,1778599,19.01,36356,"NE","NE","NE"
"DA","FORD","NE",1,"NE",1650,0,18925.01,0,30,6.84,6.35,0,17066.28,84,664.62,461.45,61,"UPOKOJENEC","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","FIAT","NE",0,"NE",3,9,4250,-4.21,20,7.59,NA,NA,3767.28,24,723.79,466.82,31,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",131.83,14,7603100,34.52,591918,"NE","NE","NE"
"DA","FORD","NE",0,"NE",1431,0,14885,0,24.99,3.49,NA,NA,12182.4,60,1504.45,1061.41,55,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",391,39,146700752,14.65,-2874101,"NE","NE","NE"
"DA","OPEL","NE",0,"NE",36,4,9700,10.54,20,7.59,5.83,0,8353.08,60,907.59,828.59,43,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","ODVETNIKI, NOTARJI, ZAS.",0,0,0,0,0,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7539,0,30571,0,10.01,4.7,NA,NA,27510.84,84,1069.99,1274.48,31,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",14.88,10,1801342,74.91,19388,"NE","NE","NE"
"DA","MAZDA","NE",0,"NE",1222,8,6300,-1.67,20,7.59,NA,NA,5229,48,792.7,661.05,41,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",4.69,22,475842,-4.59,31024,"NE","NE","NE"
"NE","OPEL","NE",0,"NE",746,0,8990,0,9.01,9.09,NA,NA,8179.9,84,623.9,491.94,31,"NEDOLOCEN CAS","SI-6","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",9645,25,1494938000,33.31,-35599000,"NE","DA","NE"
"NE","MERCEDES-BENZ","NE",0,"NE",9,9,6900,-13.17,39.13,11.34,NA,NA,5243.52,48,1316,347.12,46,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","MAZDA","NE",0,"NE",2745,0,21000,0,50,8.59,NA,NA,12951.6,60,610.43,564.17,29,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",4.7,18,122153,68.6,10117.5,"NE","NE","NE"
"NE","FIAT","NE",0,"NE",9,12,2000,-24.9,40,7.59,NA,NA,1280,12,619.87,672.27,56,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",20.75,18,1317612,14.04,-563086,"NE","NE","NE"
"DA","CITROEN","NE",2,"NE",1571,1,9500,6.22,62.16,10.34,0,0,3595,36,664.96,717.4,62,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",34.53,24,2814958,30.6,27285,"NE","NE","NE"
"DA","AUDI","NE",0,"NE",1,5,13000,0,25,7.59,NA,NA,10010,36,603.32,1287.21,49,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",44.72,20,3987738,82.17,53191.5,"NE","NE","NE"
"NE","FORD","NE",0,"NE",37,8,7300,-1.25,31.51,7.59,NA,NA,5146,48,560.49,705.83,35,"NEDOLOCEN CAS","SI-6","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",0,0,0,0,0,"NE","NE","NE"
