"Lodobren","Vznamka","Scrna_lista","Sst_odobritev","Dcrna_lista","Dst_pogodb","Vletnik","Vmpc","Veurotax","Lpolog","Lobrestna_mera","Splacilni_indeks","Szapadlo_neplacano","Sobligo","Ltrajanje_meseci","Sneto_placa","Srazpolozljiv_od_z_malico_in_prevozom","Sstarost","Strajanje_zaposlitve","Sposta","Sdrzavljanstvo","Sdrzavljanstvo_eu","SDtip","SDst_zaposlenih","SDdoba_poslovanja","SDprihodki","SDodstotek_kapitala_v_bilancni_vsoti","SDposlovni_izid","SDblokada_racuna","SDinsolventnost","SDcrna_lista"
"DA","KIA","NE",0,"NE",7797,2,9700,16.66,42.27,7.51,0.34,0,7654.92,84,740.87,756.74,38,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","KIA","NE",0,"NE",6,2,24000,-0.68,29.17,5.8,1.15,0,17240,84,755.41,912.41,55,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",45.48,12,4381215,13.96,17070,"NE","NE","NE"
"DA","FORD","NE",0,"NE",1792,0,17427,0,40.17,6.76,NA,NA,12428.16,48,1699.26,1440.34,62,"UPOKOJENEC","SI-5","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","FORD","NE",0,"NE",7797,4,10500,-0.85,23.81,7.51,NA,NA,8472.5,60,1855.34,2335.92,32,"NEDOLOCEN CAS","SI-1","KOSOVO","NE","JAVNI SEKTOR, UPOKOJENCI",25.35,11,1350186,28.89,18788,"NE","NE","NE"
"NE","CITROEN","NE",0,"NE",1,3,11300,-0.76,20,7.51,7.07,0,11890.08,72,550,384.86,36,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",0,3,20203,87.19,2264.25,"NE","NE","NE"
"NE","FORD","NE",0,"NE",343,0,13200,0,15.15,3.45,0,0,12209.4,60,803.11,304.36,46,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",363,25,79501550,9.99,3136157,"NE","NE","NE"
"NE","HONDA","NE",0,"NE",42,7,7000,13.53,20,7.51,NA,NA,5810,60,1473.45,1357,27,"DOLOCEN CAS","SI-2","SLOVENIA","DA","GOSP. DRU_B., SP-ji",0,0,0,0,0,"NE","NE","NE"
"NE","VOLKSWAGEN","NE",0,"NE",12,5,9600,-8.67,20,10.3,NA,NA,9981.6,60,1047,880.64,23,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","GOSP. DRU_B., SP-ji",0,0,0,0,0,"NE","NE","NE"
"DA","HYUNDAI","NE",0,"NE",3006,7,8943.54,17.64,10.06,7.02,NA,NA,8177.69,48,1065.5,870.15,41,"NEDOLOCEN CAS","SI-8","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",306,24,18534964,67.05,1038777,"NE","NE","NE"
"DA","OPEL","NE",1,"NE",3891,2,14990,1.64,16.01,6.76,NA,NA,16307.76,84,1399,1204.86,41,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","GOSP. DRU_B., SP-ji",0,0,0,0,0,"NE","NE","NE"
"NE","OPEL","NE",0,"NE",3,4,10700,-4.42,15,10.3,NA,NA,9202,84,658.34,591.25,30,"DOLOCEN CAS","SI-3","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","RENAULT","NE",0,"NE",57,5,7650,3.91,45.75,7.51,0.1,0,4776.48,36,1739.67,1123.59,51,"NEDOLOCEN CAS","SI-8","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",4607,26,1138121000,78.31,164673000,"NE","NE","NE"
"DA","FORD","NE",0,"NE",3501,0,20785,0,10.1,6.76,8.39,0,19100.71,84,2622.18,2336.14,45,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","GOSP. DRU_B., SP-ji",0,0,0,0,0,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7795,0,11596,0,10,6.76,2,0,13711.32,84,667.86,770.22,29,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",8,12,221075,0,19239,"NE","NE","NE"
"NE","BMW","NE",1,"NE",855,0,47500,0,15.79,5.8,1.25,0,40950,84,3625.74,3136.84,59,"NEDOLOCEN CAS","SI-6","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","FORD","NE",0,"NE",5266,4,10300,-4.89,47.57,3.45,NA,NA,5691.96,36,916.72,758.61,28,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","VOLKSWAGEN","NE",0,"NE",44,8,3500,14.57,20,7.51,NA,NA,2852.5,48,733.38,698.6,43,"NEDOLOCEN CAS","SI-8","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",425,26,33786635,43.29,558687,"NE","NE","NE"
"DA","TOYOTA","NE",0,"NE",395,0,17000,0,24.12,6.25,0.3,0,15959.16,84,1031,884.83,45,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","SUZUKI","NE",0,"NE",286,0,16490,0,15,6.76,NA,NA,14593.65,84,903.98,949.47,55,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",461,22,66200091,52.22,1285286,"NE","NE","NE"
"DA","FORD","NE",0,"NE",1793,5,3839.49,98.52,10,7.51,NA,NA,3664.62,18,871.58,546.68,67,"UPOKOJENEC","SI-5","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","OPEL","NE",0,"NE",1706,0,16350,0,0,3.45,NA,NA,16350,60,3007.8,2657.17,44,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",119,40,5776452,10,-232741,"NE","NE","NE"
"DA","VOLKSWAGEN","NE",0,"NE",44,10,6790,-15.7,20,7.51,NA,NA,6387.84,36,1146.36,968.92,41,"NEDOLOCEN CAS","SI-6","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","OPEL","NE",0,"NE",2173,0,12500,0,32,8.55,NA,NA,9413.76,24,1095.3,703.06,55,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","GOSP. DRU_B., SP-ji",0,0,0,0,0,"NE","NE","NE"
"DA","CITROEN","NE",0,"NE",1,0,11300.01,-0.76,30,7.51,7.07,0,10482.48,72,550,404.41,36,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",0,3,20203,87.19,2264.25,"NE","NE","NE"
"DA","HYUNDAI","NE",0,"NE",245,0,15570.01,0,21.19,8.55,0.67,0,12425.71,84,928.05,1502.8,36,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",19.76,22,4683971,77.85,475440,"NE","NE","NE"
"DA","MERCEDES-BENZ","NE",0,"NE",45,7,10750,-6.4,20,7.51,NA,NA,10858.8,60,1593.5,1098.4,40,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","GOSP. DRU_B., SP-ji",0,0,0,0,0,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7804,0,10946.6,0,10,10.55,NA,NA,9961.41,60,754.46,540.11,27,"DOLOCEN CAS","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","HYUNDAI","NE",0,"NE",944,0,15810,0,18.34,6.05,NA,NA,16030.08,72,915,1006.66,34,"NEDOLOCEN CAS","SI-8","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",49.68,25,5712306,51.49,265072,"NE","NE","NE"
"DA","FORD","NE",0,"NE",3007,0,18100.01,0,16.57,6.14,0.05,0,19335.12,84,1223.24,787.77,46,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",67.25,23,4926110,16.99,52157,"NE","NE","NE"
"NE","DACIA","NE",0,"NE",537,0,12100,0,50,9.55,NA,NA,7785,60,450.19,283.63,78,"UPOKOJENEC","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","KIA","NE",0,"NE",64,0,12196,0,36.9,6.76,NA,NA,7878.95,72,707.15,529.94,57,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",788,25,105390323,61.39,2496343,"NE","NE","NE"
"DA","HYUNDAI","NE",0,"NE",944,0,16210.01,0,17.89,6.05,NA,NA,16523.28,72,915,999.81,34,"NEDOLOCEN CAS","SI-8","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",49.68,25,5712306,51.49,265072,"NE","NE","NE"
"DA","KIA","NE",0,"NE",314,4,6990,16.02,20,7.51,NA,NA,7386.96,84,1293,1289.04,59,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","TOYOTA","NE",0,"NE",2994,0,18381,0,64.64,6.76,NA,NA,7961.76,48,1252.4,722.25,41,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","FORD","NE",0,"NE",3503,4,12380,0,41.7,7.51,NA,NA,7588.77,72,1038.44,1053.44,31,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7807,0,21450,0,10,4.7,NA,NA,19304.88,84,1132.69,1053.43,44,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",270.08,25,91660481,74.24,1218230,"NE","NE","NE"
"NE","TOYOTA","NE",2,"NE",3218,6,8000,4.84,31.25,7.51,0,0,5620,60,475.17,362.54,60,"UPOKOJENEC","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","FORD","NE",0,"NE",343,0,13200,0,18.83,6.76,0,0,12968.4,60,1173.3,756.3,46,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",363,25,79501550,9.9,3136157,"NE","NE","NE"
"DA","PEUGEOT","NE",0,"NE",49,9,3300,-4.94,60.61,7.51,4.55,0,1603.8,36,653.08,563.42,67,"UPOKOJENEC","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7808,2,11100,9.85,20,7.51,NA,NA,9268.5,84,1006.37,915.76,56,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",43.8,24,2919446,24.7,10016,"NE","NE","NE"
"DA","TOYOTA","NE",0,"NE",17,0,15700,0,10,6.76,NA,NA,18464.88,84,1187.5,1089.68,36,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",149,23,58184834,51.09,2004764,"NE","NE","NE"
"NE","KIA","NE",0,"NE",314,7,5390,-2.26,20,7.51,NA,NA,5314.8,60,721,632.42,31,"DOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",42.16,22,1256051,34.53,4295,"NE","NE","NE"
"DA","FORD","NE",0,"NE",3010,0,18765,0,10.13,6.92,NA,NA,17615.61,84,1258.91,1297.03,35,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",394,25,38238042,21.88,6751069,"NE","NE","NE"
"DA","SUZUKI","NE",0,"NE",397,1,9890,3.28,20.22,6.76,NA,NA,8903.16,36,1702,1778.79,36,"NEDOLOCEN CAS","SI-8","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",21.09,14,1469699,56.38,236761,"NE","NE","NE"
"DA","MAZDA","NE",1,"NE",577,0,16200,0,30.86,6.55,0.02,0,14194.32,84,848.5,875.05,46,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",8.08,25,1420116,64.3,83752,"NE","NE","NE"
"DA","BMW","NE",0,"NE",2,8,13700,-10.69,30,7.51,NA,NA,10138,48,875.05,629.9,24,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",78.33,11,3446222,74.49,351572,"NE","NE","NE"
"DA","ALFA","NE",3,"NE",794,3,11789.99,-13.99,25.45,4.3,0.88,120.7,14723.5,72,556.18,678.16,33,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",4.67,21,470346,76.04,1391.25,"NE","NE","NE"
"NE","BMW","NE",0,"NE",401,2,25900,-24.39,27.03,7.05,NA,NA,19159.01,84,1140.32,725.55,25,"DOLOCEN CAS","SI-8","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",412.1,10,19638883,25.88,71432,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7808,0,32461,0,10,6.76,NA,NA,29701.82,84,2315.29,1559.37,51,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",12.16,26,732004,23.88,27459,"NE","NE","NE"
"DA","RENAULT","NE",0,"NE",3010,8,5600,-23.61,35.71,6.51,14.26,41.34,4771.46,36,752.41,714.21,48,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",49.73,8,5566605,43.32,19616,"NE","NE","NE"
"DA","RENAULT","NE",0,"NE",418,0,24659.99,0,15.61,5.75,NA,NA,24945.84,72,1249,624.79,52,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","GOSP. DRU_B., SP-ji",0,0,0,0,0,"NE","NE","NE"
"DA","OPEL","NE",0,"NE",3894,0,21680,0,80,5.95,NA,NA,4731.72,12,1271,997.46,42,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","FORD","NE",2,"NE",5271,4,4500,15.44,0,4.05,3.03,0,4978.2,60,813.17,882.45,33,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",50.3,13,19444222,-15.51,-371448,"NE","NE","NE"
"NE","FORD","NE",0,"NE",376,3,9000,41.02,38.89,7.51,7.15,0,6411.6,36,817,748.02,44,"NEDOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",26.2,7,4707755,38.48,393075,"NE","NE","NE"
"DA","BMW","NE",0,"NE",2836,2,38940.14,6.34,10,6.76,NA,NA,41295.46,46,1152.09,518.4,41,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",9.71,18,1910863,12.62,24728,"NE","NE","NE"
"DA","FORD","NE",0,"NE",5271,6,7500,37.76,31.33,7.51,NA,NA,6239.04,48,882.62,856.17,31,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",55,25,8094642,47.72,67313,"NE","NE","NE"
"DA","KIA","NE",0,"NE",319,2,17400,5,21.26,7.51,NA,NA,18102.84,84,1131.25,1234.34,40,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",10,9,307186,58.78,1451,"NE","NE","NE"
"DA","RENAULT","NE",0,"NE",209,6,3500,-0.23,28.57,7.51,NA,NA,3064.32,48,641,621.8,38,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",279.85,26,31490792,48.22,414760,"NE","NE","NE"
"NE","BMW","NE",0,"NE",401,1,32705.65,0,0,4.55,NA,NA,33449.35,6,695.39,737.51,27,"NEDOLOCEN CAS","SI-8","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",14,19,10837297,10.13,998,"NE","NE","NE"
"DA","OPEL","NE",0,"NE",3894,5,8990,-9.21,55.62,7.51,8.77,0,5068.2,60,759,743.53,34,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",398.67,9,92276519,52.38,3120820,"NE","NE","NE"
"DA","OPEL","NE",0,"NE",2175,0,17990,0,80,5.95,NA,NA,3937.8,12,1012,774.24,52,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","SUZUKI","NE",0,"NE",246,0,10449,0,37.32,3.45,NA,NA,6903,36,826.95,608.41,24,"DOLOCEN CAS","SI-4","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","CHEVROLET","NE",0,"NE",2,5,12000,0,20,7.51,14.46,0,10866.46,84,908.8,1078.18,45,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",41.17,8,4251187,60.1,30284,"NE","NE","NE"
"DA","OPEL","NE",0,"NE",3894,0,18480,0,24.35,6.76,NA,NA,18165.84,84,829,761.74,41,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",0.42,5,9753,71.96,92,"NE","NE","NE"
"NE","RENAULT","NE",0,"NE",31,7,10390,-37.24,20,7.51,6.86,0,10495.2,60,610.45,549.53,34,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",0,7,41209,23.4,5619.75,"NE","NE","NE"
"DA","OPEL","NE",0,"NE",3894,0,21680,0,80,5.95,NA,NA,4588.92,12,1271,1009.36,42,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",28.49,25,3162141,63.42,114964,"NE","NE","NE"
"DA","CITROEN","NE",0,"NE",753,5,10999,0,0,3.45,NA,NA,12191.76,72,1254,897.77,45,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",49.52,19,5617308,77.42,165755,"NE","NE","NE"
"DA","HYUNDAI","NE",0,"NE",946,5,8000,-8.28,20,6.05,NA,NA,6560,48,878.33,1050.27,31,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",17,15,1254711,32.86,106177,"NE","NE","NE"
"DA","BMW","NE",0,"NE",401,1,27000,-2.73,62.96,7.05,0,0,10269.99,60,1406.74,1241.48,63,"UPOKOJENEC","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","FIAT","NE",1,"NE",210,7,4690,1.71,23.45,7.5,NA,NA,4098.96,36,575.3,638.92,21,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",9645,26,1494938000,33.31,-35599000,"NE","NE","NE"
"DA","HYUNDAI","NE",0,"NE",2375,0,14400,0,25.49,7.55,NA,NA,10874,60,895.92,787.15,37,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",153,23,13387951,0.79,395977,"NE","NE","NE"
"NE","SUZUKI","DA",0,"NE",5,4,19950,-21.66,40,7.5,171.33,0,12768,84,768.07,999.58,30,"DOLOCEN CAS","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","FORD","NE",1,"NE",6,1,8990,7.27,28.01,7.5,1.05,0,10879.79,48,2163.81,2005.16,52,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",0,5,18885,72.59,1676.25,"NE","NE","NE"
"DA","BMW","NE",0,"NE",157,4,15950,-2.82,43.89,7.5,0.02,0,9269,60,900.9,853,38,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",17.71,6,7285222,7.19,236950,"NE","NE","NE"
"DA","OPEL","NE",0,"NE",1715,0,17690,0,21.48,8.05,NA,NA,14066.89,84,955.92,871.26,51,"NEDOLOCEN CAS","SI-8","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",13.78,17,2451948,62.96,597422,"NE","NE","NE"
"NE","OPEL","NE",0,"NE",3894,0,14166.01,0,78.82,6.75,NA,NA,3519.12,24,524.79,378.16,64,"UPOKOJENEC","SI-9","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","PEUGEOT","NE",0,"NE",537,8,4000,-25.13,20,10.3,NA,NA,3240,36,416.3,479.16,53,"UPOKOJENEC","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","TOYOTA","NE",0,"NE",3894,11,7390,-12.9,20,7.5,0.11,0,6827.4,36,888.66,713.69,46,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","CITROEN","NE",0,"NE",3,10,3550,22.06,30,7.5,45.22,0,2862.36,36,830.94,1019.33,51,"NEDOLOCEN CAS","SI-8","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",213,25,13144227,32.77,815222,"NE","NE","NE"
"DA","FORD","NE",1,"NE",6,1,8990,7.27,28.01,7.5,1.05,0,10879.79,48,2163.81,2005.16,52,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",0,5,18885,72.59,1676.25,"NE","NE","NE"
"DA","PEUGEOT","NE",0,"NE",320,2,8300,16.05,30,7.51,NA,NA,7389.36,72,629.09,465.96,63,"UPOKOJENEC","SI-8","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","BMW","NE",0,"NE",66,4,27500,-11.04,20,7.51,NA,NA,23237.5,84,703.38,1962.99,50,"NEDOLOCEN CAS","SI-1","SRBIJA I CRNA GORA","NE","JAVNI SEKTOR, UPOKOJENCI",2.29,3,60199,42.17,1360,"NE","NE","NE"
"NE","OPEL","NE",0,"NE",3894,0,15700,0,38.22,6.75,NA,NA,11544.48,48,607,465.79,31,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","FORD","NE",0,"NE",421,8,5500,-14.78,20,10.3,NA,NA,4455,60,705.75,727.14,53,"NEDOLOCEN CAS","SI-5","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",822.68,29,80883090,49.24,1930077,"NE","NE","NE"
"NE","INFO","NE",0,"NE",3,5,24000,-17.8,50,4.3,NA,NA,12000,12,561.06,814.02,34,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",1.63,7,810310,5.48,1253,"NE","NE","NE"
"DA","MAZDA","NE",0,"NE",857,0,17100,0,35.09,6.75,0,0,14496.72,84,1033.3,758.26,38,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",276,9,57941882,8.47,153454,"NE","NE","NE"
"NE","BMW","NE",1,"NE",2836,5,12500,0,20,7.5,6.38,0,10250,60,875.54,819.91,29,"DOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",17,26,1638562,100,14571,"NE","NE","NE"
"DA","VOLVO","NE",0,"NE",3014,7,6990,-11.44,28.61,6.81,NA,NA,6034.56,48,606.36,555.52,46,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",32.16,22,846992,24.12,32163,"NE","NE","NE"
"NE","OPEL","NE",0,"NE",2,6,12000,-20.83,25,7.5,NA,NA,9240,72,616.12,777.47,31,"DOLOCEN CAS","SI-3","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",36,10,6335905,43.76,181112,"NE","NE","NE"
"NE","MAZDA","NE",0,"NE",1264,4,9200,20.71,10.87,7.5,NA,NA,11039.28,84,657.3,788.88,26,"DOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",370,23,80433085,58.2,3343540,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7815,5,13324,0,20,7.51,NA,NA,11125.54,60,616.72,506.72,27,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",603,10,9461512,14.2,162818,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7815,0,10391,0,28.87,6.75,NA,NA,8974.2,60,704.51,684.27,26,"NEDOLOCEN CAS","SI-8","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",469,24,51796301,8.36,3393626,"NE","NE","NE"
"DA","RENAULT","NE",0,"NE",58,3,10300,-8.88,20,7.51,NA,NA,10094.4,60,676.66,585.18,68,"UPOKOJENEC","SI-8","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","MAZDA","NE",1,"NE",465,0,26700.01,0,43.82,8.55,4.99,0,18814.2,60,609.55,420.42,56,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",11.17,6,1007747,49.57,41264,"NE","NE","NE"
"DA","CITROEN","NE",1,"NE",46,9,5200,-1.9,28.85,7.5,0.79,0,8876.16,36,928,582.44,35,"NEDOLOCEN CAS","SI-6","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",20.69,7,5263945,13.76,-69472,"NE","NE","NE"
"DA","FORD","NE",0,"NE",3014,0,15490,0,20,6.39,1.33,0,16171.68,84,1233.73,863.21,39,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","GOSP. DRU_B., SP-ji",0,0,0,0,0,"NE","NE","NE"
"DA","FORD","NE",0,"NE",7816,8,5800,-14.83,20.69,7.51,NA,NA,5575.2,48,751.11,684.37,52,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",2.96,4,300699,30.66,54387,"NE","NE","NE"
"DA","RENAULT","NE",0,"NE",58,0,10300,-8.88,20,7.51,NA,NA,10094.4,60,676.66,585.18,68,"UPOKOJENEC","SI-8","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","TOYOTA","NE",0,"NE",85,2,18900,-2.71,42.33,6.75,NA,NA,14182.56,84,869.91,413.92,43,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",9645,26,1494938000,33.31,-35599000,"NE","NE","NE"
"DA","KIA","NE",0,"NE",7819,0,20291,0,24.64,6.75,NA,NA,15696.81,60,736.55,706.53,62,"UPOKOJENEC","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","DAEWOO","NE",0,"NE",50,11,1690,-27.22,53.25,7.5,NA,NA,892.8,12,488.67,414.27,61,"UPOKOJENEC","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
